Function,CPU Time,CPU Time:Effective Time,CPU Time:Effective Time:Idle,CPU Time:Effective Time:Poor,CPU Time:Effective Time:Ok,CPU Time:Effective Time:Ideal,CPU Time:Effective Time:Over,CPU Time:Spin Time,CPU Time:Overhead Time,Instructions Retired,CPI Rate,CPU Frequency Ratio,Module,Function (Full),Source File,Start Address
[Loop at line 4015 in gwce_new],20.119159,20.119159,1.569679,18.549480,0.0,0.0,0.0,0.0,0.0,118300000000,0.412722,0.972997,adcirc_og_strict,[Loop at line 4015 in gwce_new],timestep.F,0x4c2b82
[Loop at line 5354 in mom_eqs_new_nc],8.576102,8.576102,0.197463,8.378640,0.0,0.0,0.0,0.0,0.0,53772500000,0.401134,1.008415,adcirc_og_strict,[Loop at line 5354 in mom_eqs_new_nc],timestep.F,0x4d7602
[Outside any loop],6.339861,6.339861,0.904119,5.435741,0.0,0.0,0.0,0.0,0.0,22247500000,0.645691,0.908458,[Unknown],[Outside any loop],[Unknown],0x0
[Loop at line 1939 in pjac],5.135037,5.135037,0.191449,4.943588,0.0,0.0,0.0,0.0,0.0,29815000000,0.424535,0.988288,adcirc_og_strict,[Loop at line 1939 in pjac],itpackv.F,0x521b71
[Loop at line 1435 in apply2dbottomfriction],1.060486,1.060486,0.096226,0.964260,0.0,0.0,0.0,0.0,0.0,3197500000,0.832682,1.006616,adcirc_og_strict,[Loop at line 1435 in apply2dbottomfriction],nodalattr.F,0x51a1d8
[Loop at line 5697 in mom_eqs_new_nc],0.843978,0.843978,0.024056,0.819922,0.0,0.0,0.0,0.0,0.0,5935000000,0.346251,0.976247,adcirc_og_strict,[Loop at line 5697 in mom_eqs_new_nc],timestep.F,0x4d8aa1
[Loop at line 2826 in sdot],0.832952,0.832952,0.046108,0.786844,0.0,0.0,0.0,0.0,0.0,2682500000,0.789376,1.019254,adcirc_og_strict,[Loop at line 2826 in sdot],itpackv.F,0x522076
[Loop at line 2826 in sdot],0.827941,0.827941,0.036085,0.791856,0.0,0.0,0.0,0.0,0.0,2640000000,0.815341,1.042373,adcirc_og_strict,[Loop at line 2826 in sdot],itpackv.F,0x521ffe
[Loop at line 2826 in sdot],0.793861,0.793861,0.031073,0.762788,0.0,0.0,0.0,0.0,0.0,2645000000,0.786389,1.050505,adcirc_og_strict,[Loop at line 2826 in sdot],itpackv.F,0x5220ef
[Loop at line 5672 in mom_eqs_new_nc],0.689616,0.689616,0.029068,0.660548,0.0,0.0,0.0,0.0,0.0,3952500000,0.401012,0.921512,adcirc_og_strict,[Loop at line 5672 in mom_eqs_new_nc],timestep.F,0x4d85b6
[Loop at line 567 in itjcg],0.628473,0.628473,0.024056,0.604417,0.0,0.0,0.0,0.0,0.0,4322500000,0.353962,0.976077,adcirc_og_strict,[Loop at line 567 in itjcg],itpackv.F,0x5224a0
[Loop at line 3149 in timestep],0.542271,0.542271,0.009021,0.533250,0.0,0.0,0.0,0.0,0.0,3337500000,0.373034,0.920518,adcirc_og_strict,[Loop at line 3149 in timestep],timestep.F,0x4aac39
[Loop at line 2442 in unscal],0.533250,0.533250,0.017040,0.516210,0.0,0.0,0.0,0.0,0.0,2730000000,0.465201,0.954887,adcirc_og_strict,[Loop at line 2442 in unscal],itpackv.F,0x51f16c
[Loop at line 2826 in sdot],0.501175,0.501175,0.019045,0.482130,0.0,0.0,0.0,0.0,0.0,1492500000,0.802345,0.958000,adcirc_og_strict,[Loop at line 2826 in sdot],itpackv.F,0x521f6a
[Loop at line 1939 in pjac],0.500172,0.500172,0.031073,0.469100,0.0,0.0,0.0,0.0,0.0,2992500000,0.401838,0.963928,adcirc_og_strict,[Loop at line 1939 in pjac],itpackv.F,0x51e718
[Loop at line 2826 in sdot],0.492154,0.492154,0.010023,0.482130,0.0,0.0,0.0,0.0,0.0,1532500000,0.776509,0.969450,adcirc_og_strict,[Loop at line 2826 in sdot],itpackv.F,0x521ef5
[Loop at line 1977 in pmult],0.490149,0.490149,0.010023,0.480125,0.0,0.0,0.0,0.0,0.0,3177500000,0.365067,0.948875,adcirc_og_strict,[Loop at line 1977 in pmult],itpackv.F,0x5274d7
[Loop at line 2391 in scal],0.484135,0.484135,0.021049,0.463085,0.0,0.0,0.0,0.0,0.0,2992500000,0.460317,1.140787,adcirc_og_strict,[Loop at line 2391 in scal],itpackv.F,0x526aad
[Loop at line 295 in timestep],0.421989,0.421989,0.051120,0.370869,0.0,0.0,0.0,0.0,0.0,2232500000,0.440090,0.933492,adcirc_og_strict,[Loop at line 295 in timestep],timestep.F,0x4a72c0
