Function,CPU Time,CPU Time:Effective Time,CPU Time:Effective Time:Idle,CPU Time:Effective Time:Poor,CPU Time:Effective Time:Ok,CPU Time:Effective Time:Ideal,CPU Time:Effective Time:Over,CPU Time:Spin Time,CPU Time:Overhead Time,Instructions Retired,CPI Rate,CPU Frequency Ratio,Module,Function (Full),Source File,Start Address
[Loop at line 4015 in gwce_new],1.067502,1.067502,0.004009,1.063493,0.0,0.0,0.0,0.0,0.0,6390000000,0.411972,0.988732,adcirc_og,[Loop at line 4015 in gwce_new],timestep.F,0x4c2b82
[Loop at line 5354 in mom_eqs_new_nc],0.458074,0.458074,0.0,0.458074,0.0,0.0,0.0,0.0,0.0,2972500000,0.383516,0.997812,adcirc_og,[Loop at line 5354 in mom_eqs_new_nc],timestep.F,0x4d7602
[Outside any loop],0.347815,0.347815,0.009021,0.338794,0.0,0.0,0.0,0.0,0.0,1370000000,0.627737,0.991354,[Unknown],[Outside any loop],[Unknown],0x0
[Loop at line 1939 in pjac],0.262616,0.262616,0.0,0.262616,0.0,0.0,0.0,0.0,0.0,1622500000,0.403698,1.000000,adcirc_og,[Loop at line 1939 in pjac],itpackv.F,0x521b71
[Loop at line 1435 in apply2dbottomfriction],0.065153,0.065153,0.0,0.065153,0.0,0.0,0.0,0.0,0.0,165000000,0.878788,0.892308,adcirc_og,[Loop at line 1435 in apply2dbottomfriction],nodalattr.F,0x51a1d8
[Loop at line 5697 in mom_eqs_new_nc],0.056132,0.056132,0.0,0.056132,0.0,0.0,0.0,0.0,0.0,317500000,0.440945,1.000000,adcirc_og,[Loop at line 5697 in mom_eqs_new_nc],timestep.F,0x4d8aa1
[Loop at line 3149 in timestep],0.053125,0.053125,0.0,0.053125,0.0,0.0,0.0,0.0,0.0,210000000,0.666667,1.056604,adcirc_og,[Loop at line 3149 in timestep],timestep.F,0x4aac39
[Loop at line 2826 in sdot],0.049115,0.049115,0.0,0.049115,0.0,0.0,0.0,0.0,0.0,152500000,0.868852,1.081633,adcirc_og,[Loop at line 2826 in sdot],itpackv.F,0x5220ef
[Loop at line 2826 in sdot],0.044103,0.044103,0.001002,0.043101,0.0,0.0,0.0,0.0,0.0,145000000,0.706897,0.931818,adcirc_og,[Loop at line 2826 in sdot],itpackv.F,0x522076
[Loop at line 2826 in sdot],0.038089,0.038089,0.0,0.038089,0.0,0.0,0.0,0.0,0.0,162500000,0.676923,1.157895,adcirc_og,[Loop at line 2826 in sdot],itpackv.F,0x521ffe
[Loop at line 1977 in pmult],0.034080,0.034080,0.0,0.034080,0.0,0.0,0.0,0.0,0.0,135000000,0.629630,1.000000,adcirc_og,[Loop at line 1977 in pmult],itpackv.F,0x5274d7
[Loop at line 2391 in scal],0.032075,0.032075,0.0,0.032075,0.0,0.0,0.0,0.0,0.0,182500000,0.452055,1.031250,adcirc_og,[Loop at line 2391 in scal],itpackv.F,0x526aad
[Loop at line 5672 in mom_eqs_new_nc],0.030070,0.030070,0.0,0.030070,0.0,0.0,0.0,0.0,0.0,182500000,0.424658,1.033333,adcirc_og,[Loop at line 5672 in mom_eqs_new_nc],timestep.F,0x4d85b6
[Loop at line 2826 in sdot],0.028066,0.028066,0.0,0.028066,0.0,0.0,0.0,0.0,0.0,102500000,0.780488,1.142857,adcirc_og,[Loop at line 2826 in sdot],itpackv.F,0x521ef5
[Loop at line 567 in itjcg],0.028066,0.028066,0.0,0.028066,0.0,0.0,0.0,0.0,0.0,302500000,0.272727,1.178571,adcirc_og,[Loop at line 567 in itjcg],itpackv.F,0x5224a0
[Loop at line 1939 in pjac],0.026061,0.026061,0.0,0.026061,0.0,0.0,0.0,0.0,0.0,170000000,0.352941,0.923077,adcirc_og,[Loop at line 1939 in pjac],itpackv.F,0x51e718
[Loop at line 2826 in sdot],0.024056,0.024056,0.0,0.024056,0.0,0.0,0.0,0.0,0.0,107500000,0.488372,0.875000,adcirc_og,[Loop at line 2826 in sdot],itpackv.F,0x521f6a
[Loop at line 4328 in gwce_new],0.021049,0.021049,0.0,0.021049,0.0,0.0,0.0,0.0,0.0,122500000,0.489796,1.142857,adcirc_og,[Loop at line 4328 in gwce_new],timestep.F,0x4c4710
[Loop at line 2442 in unscal],0.019045,0.019045,0.0,0.019045,0.0,0.0,0.0,0.0,0.0,140000000,0.392857,1.157895,adcirc_og,[Loop at line 2442 in unscal],itpackv.F,0x51f16c
[Loop at line 5910 in mom_eqs_new_nc],0.017040,0.017040,0.001002,0.016038,0.0,0.0,0.0,0.0,0.0,92500000,0.459459,1.000000,adcirc_og,[Loop at line 5910 in mom_eqs_new_nc],timestep.F,0x4d917b
[Loop at line 295 in timestep],0.014033,0.014033,0.0,0.014033,0.0,0.0,0.0,0.0,0.0,117500000,0.340426,1.142857,adcirc_og,[Loop at line 295 in timestep],timestep.F,0x4a72c0
[Loop at line 2365 in scal],0.012028,0.012028,0.0,0.012028,0.0,0.0,0.0,0.0,0.0,85000000,0.411765,1.166667,adcirc_og,[Loop at line 2365 in scal],itpackv.F,0x52634c
[Loop at line 2618 in zbrent],0.012028,0.012028,0.0,0.012028,0.0,0.0,0.0,0.0,0.0,35000000,0.571429,0.666667,adcirc_og,[Loop at line 2618 in zbrent],itpackv.F,0x52435c
[Loop at line 2451 in unscal],0.009021,0.009021,0.0,0.009021,0.0,0.0,0.0,0.0,0.0,107500000,0.232558,1.111111,adcirc_og,[Loop at line 2451 in unscal],itpackv.F,0x51f4ac
[Loop at line 3321 in timestep],0.009021,0.009021,0.0,0.009021,0.0,0.0,0.0,0.0,0.0,47500000,0.263158,0.555556,adcirc_og,[Loop at line 3321 in timestep],timestep.F,0x4ab6ee
[Loop at line 2826 in sdot],0.008019,0.008019,0.0,0.008019,0.0,0.0,0.0,0.0,0.0,25000000,0.600000,0.750000,adcirc_og,[Loop at line 2826 in sdot],itpackv.F,0x527984
[Loop at line 2312 in scal],0.007016,0.007016,0.0,0.007016,0.0,0.0,0.0,0.0,0.0,55000000,0.318182,1.000000,adcirc_og,[Loop at line 2312 in scal],itpackv.F,0x52603e
[Loop at line 2431 in unscal],0.007016,0.007016,0.0,0.007016,0.0,0.0,0.0,0.0,0.0,2500000,6.000000,0.857143,adcirc_og,[Loop at line 2431 in unscal],itpackv.F,0x51ee22
[Loop at line 5770 in mom_eqs_new_nc],0.007016,0.007016,0.0,0.007016,0.0,0.0,0.0,0.0,0.0,30000000,0.666667,1.142857,adcirc_og,[Loop at line 5770 in mom_eqs_new_nc],timestep.F,0x4d8faf
